
#, CSV File: LD_V1.csv,,,,,,,,,,,,,
#, LD (Real Netlist) Connections: Onbd Bkpl Opti at 13.625G,,,,,,,,,,,,,
#, 1762 lines,,,,,,,,,,,,,
#, Version 34 for V1 Revision LD,,,,,,,,,,,,,
# Type,TX_Ch,TX SrDs,RX_Ch,RX SrDs,Latency,Speed,Pattern,Offset,Mid_dev,Rx_lane,Tx_lane,PreD_Loss,PostD_Loss,Path
LLIO,0,112,6,116,17182.4,0,0xFF,0,None,-1,-1,0,0,U1S0.BU4/BT4 - T0222.6 - U1S6.BJ24/BH24
LLIO,0,113,5,120,17900.2,0,0xFF,0,None,-1,-1,0,0,U1S0.BN6/BM6 - T0334.0 - U1S5.BJ18/BH18
LLIO,0,115,2,127,17324.9,0,0xFF,0,None,-1,-1,0,0,U1S0.BJ26/BH26 - T0253.3 - U1S2.BR3/BP3
LLIO,0,117,2,118,17490.7,0,0xFF,0,None,-1,-1,0,0,U1S0.BJ22/BH22 - T0273.4 - U1S2.BN4/BM4
LLIO,0,119,3,128,17849.1,0,0xFF,0,None,-1,-1,0,0,U1S0.BJ20/BH20 - T0332.6 - U1S3.BL5/BK5
LLIO,0,121,1,123,16467.1,0,0xFF,0,None,-1,-1,0,0,U1S0.BJ12/BH12 - T0105.6 - U1S1.BL1/BK1
LLIO,0,122,3,131,18054.1,0,0xFF,0,None,-1,-1,0,0,U1S0.BJ16/BH16 - T0365.0 - U1S3.BL7/BK7
LLIO,0,126,7,133,16884,0,0xFF,0,None,-1,-1,0,0,U1S0.BL3/BK3 - T0173.2 - U1S7.BJ8/BH8
LLIO,0,129,6,114,17165.4,0,0xFF,0,None,-1,-1,0,0,U1S0.BN2/BM2 - T0230.6 - U1S6.BJ28/BH28
LLIO,0,130,1,134,16561.9,0,0xFF,0,None,-1,-1,0,0,U1S0.BJ6/BH6 - T0126.1 - U1S1.BJ4/BH4
LLIO,0,135,7,132,16900.9,0,0xFF,0,None,-1,-1,0,0,U1S0.BJ2/BH2 - T0181.3 - U1S7.BJ10/BH10
